genre,count
rap,26
hip hop,13
pop,9
trap,9
r&b,6
melodic rap,5
atl hip hop,5
pop rap,5
worship,3
christian music,3
ccm,3
urban contemporary,2
southern hip hop,2
dance pop,2
bedroom pop,2
world worship,2
miami hip hop,2
conscious hip hop,2
chicago rap,2
rage rap,2
canadian hip hop,2
canadian pop,2
melodic dubstep,2
gangster rap,1
afrofuturism,1
anime score,1
west coast rap,1
hyperpop,1
canadian electronic,1
alternative r&b,1
pop edm,1
glitchcore,1
j-pop,1
trap latino,1
japanese teen pop,1
new orleans rap,1
bedroom r&b,1
japanese soundtrack,1
underground hip hop,1
florida drill,1
florida rap,1
dubstep,1
krushclub,1
pop dance,1
edm,1
philly rap,1
canadian contemporary r&b,1
chill r&b,1
dfw rap,1
plugg,1
pluggnb,1
atl trap,1
north carolina hip hop,1
canadian trap,1
brooklyn drill,1
chicago bop,1
chicago drill,1
drill,1
gen z singer-songwriter,1
slap house,1
sigilkore,1
indonesian r&b,1
emo rap,1
barbadian pop,1
proto-hyperpop,1
